Certificação Realizada no dia 14-04-20 21:32:56
Dev_id utilizado: tests_mode
Teste 0: True
Teste 1: True
Teste 2: True
Teste 3: True
Teste 4: True
Teste 5: True
Teste 6: False
Teste 7: True
Teste 8: True
Teste 9: False
Teste 10: False
Teste 11: False
Teste 12: True
Teste 13: False
Teste 14: False
Teste 15: True
Teste 16: True
Teste 17: True
Teste 18: True
Teste 19: False
Teste 20: False
Teste 21: True
Teste 22: True
Teste 23: True
Teste 24: False
Teste 25: False
Teste 26: True
Teste 27: True
Teste 28: False
Teste 29: False
Teste 30: False
Teste 31: False
Teste 32: False
Teste 33: False
Teste 34: True
Teste 35: True
