Certificação Realizada no dia 09-04-20 18:23:44
Dev_id utilizado: tests_mode
Teste 0: True
Teste 1: True
Teste 2: True
Teste 3: True
Teste 4: True
Teste 5: True
Teste 6: False
Teste 7: False
Teste 8: True
Teste 9: False
Teste 10: False
Teste 11: False
Teste 12: False
Teste 13: True
Teste 14: True
Teste 15: False
Teste 16: False
Teste 17: False
Teste 18: True
Teste 19: True
Teste 20: False
Teste 21: True
Teste 22: True
Teste 23: True
Teste 24: False
Teste 25: False
Teste 26: False
Teste 27: False
Teste 28: True
Teste 29: True
Teste 30: True
Teste 31: True
Teste 32: True
Teste 33: False
Teste 34: True
Teste 35: False
Teste 36: True
Teste 37: True
Teste 38: True
Teste 39: False
Teste 40: False
Teste 41: True
Teste 42: True
Teste 43: False
